any,1100,1149,3120,3745,4454,4474,4707,5320,6377,7062,7535,8073,10209,10339,10611,11931,14309,18176,20918,21693,27797,28723,31450,34700
Y,79,179,79,129,179,179,179,179,50,179,179,129,79,179,,129,179,179,79,79,,179,129,79
Y,359,349,359,359,349,349,349,349,369,349,369,359,359,369,,359,349,349,359,359,,349,359,359
Y,269,299,269,299,299,299,299,299,269,299,299,299,269,319,,299,299,299,269,269,,299,299,269
Y,449,489,449,499,489,489,489,489,459,489,489,499,449,489,,499,489,489,449,449,,489,489,449
Y,499,559,499,569,559,559,559,569,519,559,559,579,499,549,,579,559,559,499,499,,569,569,499
Y,499,529,499,569,529,529,519,539,469,529,529,559,499,529,,559,529,529,499,499,,519,549,499
Y,100,139,100,149,139,139,139,139,100,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,179,100,100,100,119,139,100,100,159,149,100,,149,100,100,149,149,,100,159,149
Y,1089,979,1089,989,979,979,979,979,1099,979,979,979,1089,979,,979,979,979,1089,1089,,979,989,1089
Y,139,169,139,179,169,169,169,169,199,169,169,169,139,169,,169,169,169,139,139,,169,169,139
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,349,349,349,349,349,369,349,349,349,359,349,,349,349,349,359,359,,349,349,359
Y,419,419,419,419,419,419,419,419,419,419,419,419,419,419,,419,419,419,419,419,,419,419,419
Y,269,299,269,299,299,299,299,299,259,299,299,299,269,299,,299,299,299,269,269,,299,299,269
Y,359,349,359,349,349,349,349,349,339,349,369,349,359,349,,349,349,349,359,359,,349,349,359
Y,419,399,419,419,399,399,399,399,399,399,399,419,419,399,,419,399,399,419,419,,399,419,419
Y,239,279,239,289,279,279,279,279,279,279,279,279,239,279,,279,279,279,239,239,,279,279,239
Y,259,319,259,329,319,319,319,319,299,319,319,319,259,319,,319,319,319,259,259,,319,319,259
Y,30,30,30,40,30,30,30,30,40,30,30,40,30,30,,40,30,30,30,30,,30,40,30
Y,1879,2239,1879,2299,2239,2299,2299,2239,2219,2299,2239,2279,1879,2239,,2249,2239,2239,1819,1819,,2239,2279,1819
Y,339,319,339,429,349,299,339,299,279,299,349,429,339,299,,429,319,349,339,339,,349,429,339
Y,789,829,789,879,829,829,829,829,759,829,819,859,789,829,,859,829,799,789,789,,799,859,789
Y,199,189,199,189,189,189,189,179,189,189,189,189,199,179,,189,189,189,199,199,,179,189,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,449,489,449,499,489,489,489,489,459,489,489,499,449,489,,499,489,489,449,449,,489,489,449
Y,499,559,499,569,559,559,559,569,519,559,559,579,499,549,,579,559,559,499,499,,569,569,499
Y,369,439,369,449,439,439,439,439,269,439,439,439,369,439,,439,439,439,369,369,,439,439,369
Y,369,439,369,449,439,439,439,439,269,439,439,439,369,439,,439,439,439,369,369,,439,439,369
Y,299,339,299,369,339,339,339,339,269,339,339,339,299,349,,339,339,339,299,299,,339,349,299
Y,339,369,339,389,369,369,379,369,359,369,369,369,339,369,,369,369,369,339,339,,369,379,339
Y,689,789,689,879,779,789,789,799,799,779,779,839,689,779,,839,779,779,689,689,,779,839,689
Y,739,679,739,709,679,679,679,679,769,679,679,679,739,679,,679,679,679,739,739,,679,689,739
Y,100,139,100,149,139,139,139,139,139,139,139,149,100,139,,149,139,139,100,100,,139,149,100
Y,149,100,149,149,100,100,100,100,139,100,100,149,149,100,,149,100,100,149,149,,100,149,149
Y,199,179,199,179,179,179,179,179,189,179,179,179,199,179,,179,179,179,199,199,,179,179,199
Y,219,199,219,199,199,199,199,199,199,199,199,199,219,199,,199,199,199,219,219,,199,199,219
Y,389,429,389,449,419,429,419,419,419,429,419,449,379,419,,449,419,429,389,389,,419,449,389
Y,449,479,449,519,479,479,479,479,519,479,479,499,449,479,,499,479,479,449,449,,479,499,449
Y,499,529,499,569,529,529,529,529,619,529,529,549,499,529,,549,529,529,499,499,,529,549,499
Y,419,499,419,499,499,499,479,479,549,499,499,499,399,479,,499,499,499,419,399,,499,479,419
Y,419,499,419,499,499,499,479,479,549,499,499,499,399,479,,499,499,499,419,399,,499,479,419
Y,40,59,49,100,59,59,59,59,50,59,59,100,49,59,,100,59,59,40,40,,59,100,40
Y,30,29,30,29,29,29,29,29,50,29,29,29,30,29,,29,29,29,30,30,,29,29,30
