Y,129,129,119,129,129,159,129,249,129,119,119,249,119,249,249,,249,119,249,249,249,129,129,249,249,119,129,159,129,129,129,129,179,249,249,249,129,129,129,119,249,129,129,129,249,129,119,119,,249,129,129,129,129,129,119,119,119,129,159,129,119
Y,369,339,329,339,339,299,339,399,349,339,349,399,329,399,399,,399,339,399,399,399,319,339,399,399,329,339,299,349,349,339,339,279,399,399,399,339,339,349,329,399,339,339,339,399,339,339,329,,399,339,339,339,339,319,339,329,329,319,299,339,329
Y,469,489,489,489,489,499,469,599,469,499,519,589,489,599,599,,599,539,599,599,599,449,489,599,599,519,489,499,469,469,489,489,559,599,599,589,489,479,489,519,599,479,489,479,599,489,519,519,,599,469,489,489,489,449,559,499,499,449,499,489,489
Y,109,109,129,109,109,129,109,129,109,129,129,129,129,129,129,,129,129,129,129,129,119,109,129,129,129,109,129,109,109,109,109,129,129,129,129,109,109,109,129,129,109,109,109,129,109,129,129,,129,109,109,109,109,119,129,129,129,119,129,109,129
Y,159,159,169,159,159,169,159,149,159,169,169,159,169,149,159,,159,169,169,159,159,149,159,159,149,169,159,159,159,159,159,159,159,149,159,159,159,159,159,169,149,159,159,159,159,159,169,169,,159,149,159,159,159,149,169,169,169,149,149,159,169
Y,169,169,179,169,169,179,169,159,169,179,179,169,179,159,169,,169,179,179,169,169,159,169,169,159,179,169,169,169,169,169,169,169,159,169,169,169,169,169,179,159,169,169,169,169,169,179,179,,169,159,169,169,169,159,179,179,179,159,159,169,179
Y,179,179,189,179,179,189,179,169,179,189,189,179,189,169,179,,179,189,189,179,179,169,179,179,169,189,179,179,179,179,179,179,179,169,179,179,179,179,179,189,169,179,179,179,179,179,189,189,,179,169,179,179,179,169,189,189,189,169,169,179,189
Y,879,,,,,,,,,,,,,,,,,,,,,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789,,,,789,,,
Y,479,,,,,619,,,,,,,,,,,,,,,,689,,,,,,599,,,,,,,,,,,,,,,,,,,,,,,,,,,689,,,,689,599,,
Y,109,109,129,109,109,129,109,129,109,129,129,129,129,129,129,,129,129,129,129,129,119,109,129,129,129,109,129,109,109,109,109,129,129,129,129,109,109,109,129,129,109,109,109,129,109,129,129,,129,109,109,109,109,119,129,129,129,119,129,109,129
Y,159,159,169,159,159,169,159,149,159,169,169,159,169,149,159,,159,169,169,159,159,149,159,159,149,169,159,159,159,159,159,159,159,149,159,159,159,159,159,169,149,159,159,159,159,159,169,169,,159,149,159,159,159,149,169,169,169,149,149,159,169
Y,169,169,179,169,169,179,169,159,169,179,179,169,179,159,169,,169,179,179,169,169,159,169,169,159,179,169,169,169,169,169,169,169,159,169,169,169,169,169,179,159,169,169,169,169,169,179,179,,169,159,169,169,169,159,179,179,179,159,159,169,179
Y,179,179,189,179,179,189,179,169,179,189,189,179,189,169,179,,179,189,189,179,179,169,179,179,169,189,179,179,179,179,179,179,179,169,179,179,179,179,179,189,169,179,179,179,179,179,189,189,,179,169,179,179,179,169,189,189,189,169,169,179,189
Y,199,189,179,189,189,179,179,199,189,179,179,199,179,199,199,,199,179,199,199,199,159,189,199,199,179,189,179,179,189,189,189,169,199,199,199,189,189,189,199,199,189,189,189,199,189,189,179,,199,189,189,189,179,159,179,179,199,159,179,189,189
Y,109,109,129,109,109,129,109,129,109,129,129,129,129,129,129,,129,129,129,129,129,119,109,129,129,129,109,129,109,109,109,109,129,129,129,129,109,109,109,129,129,109,109,109,129,109,129,129,,129,109,109,109,109,119,129,129,129,119,129,109,129
Y,159,159,169,159,159,169,159,149,159,169,169,159,169,149,159,,159,169,169,159,159,149,159,159,149,169,159,159,159,159,159,159,159,149,159,159,159,159,159,169,149,159,159,159,159,159,169,169,,159,149,159,159,159,149,169,169,169,149,149,159,169
Y,169,169,179,169,169,179,169,159,169,179,179,169,179,159,169,,169,179,179,169,169,159,169,169,159,179,169,169,169,169,169,169,169,159,169,169,169,169,169,179,159,169,169,169,169,169,179,179,,169,159,169,169,169,159,179,179,179,159,159,169,179
Y,179,179,189,179,179,189,179,169,179,189,189,179,189,169,179,,179,189,189,179,179,169,179,179,169,189,179,179,179,179,179,179,179,169,179,179,179,179,179,189,169,179,179,179,179,179,189,189,,179,169,179,179,179,169,189,189,189,169,169,179,189
Y,549,559,529,559,559,479,539,579,549,529,499,579,509,579,579,,579,529,579,579,579,499,559,579,579,509,559,479,549,559,559,559,469,579,579,579,559,559,549,539,579,559,559,559,579,559,509,539,,579,549,559,559,539,499,509,509,509,499,479,559,539
