any,1248,1249,2111,2332,2515,2693,2731,3059,5978,5979,6524,6844,7507,7508,7575,7593,10297,11551,11844,11906,12084,12221,12222,12612,13080,13124,13379,13501,13978,15288,15350,15594,15719,15722,17338,17806,18406,20103,20259,24659,28996,31587,31872,32221,32354,33313,34384
Y,220,280,439,439,280,220,425,245,239,220,259,439,439,435,280,270,439,439,240,239,250,230,439,250,219,439,280,270,280,439,255,250,200,280,,270,439,429,220,280,,270,280,250,280,280,439
Y,200,215,329,329,215,200,320,220,219,200,239,329,329,320,215,230,329,329,220,219,230,200,329,230,199,329,215,230,215,329,220,230,199,215,,230,329,329,200,215,,230,215,220,215,215,329
Y,220,280,439,439,280,220,425,245,239,220,259,439,439,435,280,270,439,439,240,239,250,230,439,250,219,439,280,270,280,439,255,250,200,280,,270,439,429,220,280,,270,280,250,280,280,439
Y,200,215,329,329,215,200,320,220,219,200,239,329,329,320,215,230,329,329,220,219,230,200,329,230,199,329,215,230,215,329,220,230,199,215,,230,329,329,200,215,,230,215,220,215,215,329
Y,220,280,439,439,280,220,425,245,239,220,259,439,439,435,280,270,439,439,240,239,250,230,439,250,219,439,280,270,280,439,255,250,200,280,,270,439,429,220,280,,270,280,250,280,280,439
Y,170,185,300,300,185,170,300,,,170,219,300,300,300,185,,300,300,,189,,,300,,199,300,185,,185,300,,,199,185,,,300,300,170,185,,,185,,185,185,300
Y,50,,75,75,,50,75,75,75,50,65,75,75,75,,75,75,75,75,,75,50,,75,85,75,,75,,75,75,75,85,,,75,,75,50,,,75,,75,,,75
Y,170,185,300,300,185,170,300,,,170,219,300,300,300,185,,300,300,,189,,,300,,199,300,185,,185,300,,,199,185,,,300,300,170,185,,,185,,185,185,300
Y,160,139,,,139,160,,100,100,160,139,,,,139,100,,,100,139,100,100,,100,100,,139,100,139,,100,100,100,139,,100,,,160,139,,100,139,100,139,139,
Y,135,100,139,139,100,135,139,100,100,135,149,139,139,139,100,100,139,139,100,139,100,100,139,100,139,139,100,100,100,139,100,100,100,100,,100,139,139,135,100,,100,100,100,100,100,139
Y,135,139,139,139,139,135,139,135,139,135,159,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,135,139,139,139,139,135,139,135,139,135,169,139,139,139,139,135,139,139,135,139,135,100,139,135,139,139,139,135,139,139,135,135,100,139,,135,139,139,135,139,,135,139,135,139,139,139
Y,315,270,300,300,270,315,300,100,100,315,250,300,300,300,270,200,300,300,100,219,200,200,300,200,200,300,270,200,270,300,105,200,200,270,,200,300,300,315,270,,200,270,,270,270,300
Y,335,315,375,375,315,335,375,100,100,335,300,375,375,375,315,300,375,375,100,289,300,275,375,300,250,375,315,300,315,375,120,300,269,315,,300,375,375,335,315,,300,315,,315,315,375
Y,370,350,425,425,350,370,425,100,100,370,399,425,425,425,350,350,425,425,100,329,350,325,425,350,300,425,350,350,350,425,130,350,319,350,,350,425,425,370,350,,350,350,,350,350,425
