Y,179,169,179,179,169,169,169,179,179,179,179,179,169,179,169,179,169,169,,179,179,179,179,169,179,169,179,169,179,169,179,179,,169,169,169,179,,179,169,169,169,169,179,179,179,,179,169,159,179,179,,169,169,,159,169,169
Y,199,199,199,199,199,209,199,199,199,199,199,199,199,199,199,199,199,199,,199,199,199,199,199,199,199,199,209,199,199,199,199,,199,199,199,199,,209,199,199,199,199,199,199,199,,199,199,149,199,199,,199,199,,149,209,199
Y,139,129,129,129,129,119,129,129,129,129,129,129,129,139,119,139,129,129,,139,129,139,139,129,139,129,129,119,129,129,139,139,,129,129,129,139,,119,129,129,129,129,139,139,129,,139,129,119,129,139,,129,129,,119,119,129
Y,149,149,159,159,149,149,149,159,159,159,159,159,149,149,149,149,149,149,,149,159,149,149,149,149,149,159,149,159,149,149,149,,149,149,149,149,,159,149,149,149,149,149,149,159,,149,149,139,159,149,,149,149,,139,149,149
Y,169,159,169,169,159,159,159,169,169,169,169,169,159,169,159,169,159,159,,169,169,169,169,159,169,159,169,159,169,159,169,169,,159,159,159,169,,169,159,159,159,159,169,169,169,,169,159,149,169,169,,159,159,,149,159,159
Y,179,169,179,179,169,169,169,179,179,179,179,179,169,179,169,179,169,169,,179,179,179,179,169,179,169,179,169,179,169,179,179,,169,169,169,179,,179,169,169,169,169,179,179,179,,179,169,159,179,179,,169,169,,159,169,169
Y,599,579,579,579,579,499,579,579,579,579,579,579,579,599,489,599,579,579,,599,579,599,599,579,599,579,579,499,579,579,599,599,,579,579,579,599,,479,489,579,579,579,599,599,579,,599,579,589,579,599,,579,579,,589,479,579
Y,200,200,200,200,200,,200,200,200,200,200,200,200,200,,200,200,200,,200,200,200,200,200,200,200,200,,200,200,200,200,,200,200,200,200,,,100,200,200,200,200,200,200,,200,200,,200,200,,200,200,,,,200
Y,72,68,68,68,68,68,68,68,68,68,68,68,68,72,68,72,68,68,,72,68,72,72,68,72,68,68,68,68,68,72,72,,68,68,68,72,,79,68,68,68,68,72,72,68,,72,68,68,68,72,,68,68,,68,79,68
Y,35,,,,,45,,,,,,,,35,,35,,,,35,,35,35,,35,,,45,,,35,35,,,,,35,,29,23,,,,35,35,,,35,,30,,35,,,,,30,29,
Y,25,,,,,45,,,,,,,,25,,25,,,,25,,25,25,,25,,,45,,,25,25,,,,,25,,29,23,,,,25,25,,,25,,23,,25,,,,,23,29,
Y,519,549,549,549,569,429,569,549,549,549,549,549,549,519,419,519,549,549,,519,549,519,519,569,519,549,549,429,549,539,519,519,,549,569,569,519,,399,479,549,549,549,519,519,549,,519,549,579,549,519,,569,549,,579,399,549
Y,159,169,169,169,169,59,169,169,169,169,169,169,169,159,40,159,169,169,,159,169,159,159,169,159,169,169,59,169,169,159,159,,169,169,169,159,,59,20,169,169,169,159,159,169,,159,169,30,169,159,,169,169,,30,59,169
Y,3459,3299,3299,3299,3299,3219,3299,3299,3299,3299,3299,3299,3299,3459,3029,3459,3299,3299,,3459,3299,3459,3459,3299,3459,3299,3299,3219,3299,3299,3459,3459,,3299,3299,3299,3459,,2949,2969,3299,3299,3299,3459,3459,3299,,3459,3299,,3299,3459,,3299,3299,,,2949,3299
Y,359,449,449,449,449,449,449,449,449,429,449,449,449,399,449,399,449,449,,359,449,419,399,449,419,449,449,449,429,449,399,399,,449,409,409,399,,419,619,449,449,449,399,399,449,,359,449,429,449,399,,449,449,,429,449,409
Y,419,529,549,549,529,559,529,549,529,529,529,549,529,499,529,499,529,529,,419,549,479,499,549,479,529,549,559,529,529,509,499,,529,469,469,499,,529,779,549,529,529,499,499,549,,419,529,669,549,509,,529,529,,669,539,469
Y,239,219,219,219,219,,219,219,219,219,219,219,219,239,219,239,219,219,,239,219,239,239,219,239,219,219,,219,219,239,239,,219,219,219,239,,,179,219,219,219,239,239,219,,239,219,,219,239,,219,219,,,,219
Y,279,239,239,239,239,219,239,239,239,239,239,239,239,279,239,279,239,239,,279,239,279,279,239,279,239,239,219,239,239,279,279,,239,239,239,279,,229,199,239,239,239,279,279,239,,279,239,199,239,279,,239,239,,199,229,239
Y,299,259,259,259,259,239,259,259,259,259,259,259,259,299,259,299,259,259,,299,259,299,299,259,299,259,259,239,259,259,299,299,,259,259,259,299,,259,219,259,259,259,299,299,259,,299,259,199,259,299,,259,259,,199,259,259
Y,279,239,239,239,239,219,239,239,239,239,239,239,239,279,239,279,239,239,,279,239,279,279,239,279,239,239,219,239,239,279,279,,239,239,239,279,,229,199,239,239,239,279,279,239,,279,239,199,239,279,,239,239,,199,229,239
Y,299,259,259,259,259,239,259,259,259,259,259,259,259,299,259,299,259,259,,299,259,299,299,259,299,259,259,239,259,259,299,299,,259,259,259,299,,259,219,259,259,259,299,299,259,,299,259,199,259,299,,259,259,,199,259,259
