any,1199,1657,2155,4820,5964,6123,6723,7049,7148,7153,7468,7548,7601,7602,7943,7953,7972,8007,8015,11173,13355,13378,14195,14196,18138,18691,25845,27354,31791,33728,35221
Y,495,495,480,560,495,559,569,549,609,490,559,579,500,520,555,490,,480,599,,470,480,,,495,480,,520,480,620,500
Y,340,370,290,390,400,389,319,379,369,340,399,299,410,410,359,380,,290,299,,340,360,,,340,350,,400,290,480,350
Y,370,380,320,450,450,459,329,389,439,380,459,319,460,450,359,380,,320,319,,370,450,,,370,370,,440,320,510,370
Y,150,150,,,150,,,150,150,150,,,150,150,150,150,,,,,150,100,,,150,150,,150,,280,150
Y,390,380,340,400,400,459,469,409,459,395,459,449,395,395,399,420,,340,449,,380,370,,,440,395,,420,340,500,450
Y,470,450,440,460,450,529,499,479,559,450,519,529,460,460,485,450,,440,529,,450,440,,,470,450,,450,440,580,470
Y,790,780,555,790,790,629,669,785,919,790,619,659,780,790,785,790,,560,669,,790,790,,,790,780,,790,560,930,790
Y,790,780,555,790,780,619,659,789,929,780,619,659,780,780,789,780,,560,659,,780,790,,,780,780,,780,560,930,790
Y,495,495,480,560,495,559,569,549,609,490,559,579,500,520,555,490,,480,599,,470,480,,,495,480,,520,480,620,500
Y,290,260,340,260,250,269,239,265,269,250,259,249,260,280,249,275,,340,249,,260,275,,,270,260,,260,340,300,275
Y,60,,100,50,,75,75,,,,75,75,50,60,,,,100,75,,40,,,,,60,,50,100,70,
Y,380,350,290,350,370,329,299,409,399,340,349,299,350,400,379,360,,290,319,,340,380,,,340,350,,370,290,460,350
Y,580,580,,580,580,,,589,609,580,,,580,580,589,580,,,,,580,580,,,580,580,,580,,690,580
Y,690,690,495,690,690,569,599,689,789,690,599,599,690,690,689,690,,500,619,,690,690,,,690,690,,690,500,840,690
Y,1090,1090,860,1090,1090,899,989,1089,1219,1090,919,999,1080,1080,1089,1090,,860,989,,1050,1090,,,1080,1090,,1090,860,1370,1090
Y,1160,1160,840,1160,1160,889,859,1159,1389,1160,889,899,1160,1160,1159,1160,,840,939,,1140,1160,,,1160,1180,,1160,840,1420,1160
Y,1150,1150,840,1150,1150,889,859,1149,1379,1150,889,899,1150,1150,1149,1150,,840,939,,1140,1150,,,1150,1150,,1150,840,1420,1150
Y,295,295,200,295,295,269,259,299,319,295,249,249,295,295,299,295,,200,259,,295,295,,,295,295,,295,200,350,295
Y,110,110,100,110,110,150,100,109,109,110,150,100,110,110,109,110,,100,100,,110,110,,,115,110,,110,100,110,110
Y,190,190,150,190,190,150,150,189,189,190,150,150,190,190,189,190,,150,150,,190,190,,,190,190,,190,150,240,190
Y,230,230,225,230,230,199,199,230,230,230,199,199,230,230,230,230,,230,199,,230,230,,,230,200,,230,230,290,230
Y,260,260,235,260,260,229,229,260,265,260,229,229,260,260,260,260,,240,229,,260,260,,,260,240,,260,240,330,260
Y,740,730,605,750,750,699,699,735,839,730,669,699,730,740,729,730,,610,699,,740,730,,,730,730,,730,610,890,735
Y,1130,1130,970,1130,1130,969,1079,1129,1269,1130,989,1099,1120,1120,1125,1130,,970,1089,,1090,1130,,,1120,1130,,1130,970,1410,1130
Y,40,40,,40,40,75,75,49,49,40,75,75,40,40,49,40,,,75,,40,40,,,40,40,,40,,40,40
Y,350,350,280,370,360,259,299,379,369,440,259,289,370,350,339,370,,280,299,,390,360,,,340,370,,370,280,480,360
Y,450,400,320,450,460,469,339,469,479,480,479,339,460,470,,440,,320,349,,460,470,,,440,440,,450,320,530,460
Y,370,340,260,360,350,269,279,399,369,350,269,289,370,380,359,380,,260,289,,360,340,,,340,370,,370,260,470,410
