any,220,235,364,1424,2023,2279,2427,2570,3140,3397,3498,3514,3865,3907,4071,4092,4179,4238,4404,4456,4644,4654,4738,4787,4919,5249,5553,5590,5659,5731,5808,6011,6029,6228,6231,6849,7164,7712,8084,10147,10367,10393,10833,10858,11060,11066,11098,11473,11550,11796,11807,11885,12190,12391,12495,12501,13262,13697,14673,15793,16369,18534,20105,20533,21191,22258,22591,22592,22852,23481,23529,23895,24370,25211,26250,27183,27525,28191,28808,28828,30148,30374,30519,30578,30903,30968,31141,31188,31305,31397,31404,31442,31566,31869,31902,31973,32613,33423,33972,35806
Y,299,299,229,379,339,429,279,339,289,249,229,259,229,289,299,279,259,,299,189,299,259,289,319,,279,289,299,349,299,219,349,269,279,429,250,269,249,279,250,250,279,189,339,,269,,259,299,429,,289,259,259,289,289,289,259,259,,,319,259,250,289,319,269,259,279,189,269,299,289,259,449,250,239,319,,,,,,,,,279,329,,,249,429,250,279,,249,269,429,299,
Y,299,299,229,379,339,429,279,339,289,249,229,259,229,289,299,279,259,,299,189,299,259,289,319,,279,289,299,349,299,219,299,269,279,429,250,269,249,279,250,250,279,189,339,,269,,259,299,429,,289,259,259,289,289,289,259,259,,,319,259,250,289,319,269,259,279,189,269,299,289,259,449,250,239,319,,,,,,,,,279,329,,,249,429,250,279,,249,269,429,299,
Y,249,259,259,249,249,399,329,269,269,219,229,259,229,299,329,329,259,,,279,279,259,269,249,,259,259,249,229,249,279,289,259,329,429,380,259,,329,380,380,259,279,249,,349,,,319,399,,329,219,249,299,269,229,259,,,,,329,380,329,229,259,259,299,279,259,249,299,319,439,380,229,,,,,,,,,,,279,,,259,399,380,329,,,259,399,249,
Y,249,199,219,289,199,99,219,259,239,239,199,219,159,249,229,219,199,,189,129,259,219,259,169,,219,219,219,279,199,119,219,199,219,99,220,229,249,219,220,220,219,129,259,,99,,279,259,99,,229,199,189,229,259,179,229,269,,,169,219,220,229,249,219,239,229,129,219,279,229,199,129,220,159,289,,,,,,,,,239,269,,,219,99,220,219,,279,219,99,199,
Y,889,809,839,879,909,1029,1119,899,899,899,1059,849,889,849,1119,879,809,,819,999,929,839,889,919,,839,839,889,989,989,999,1229,819,1119,1059,1096,859,909,1119,1096,1096,839,1009,899,,999,,909,1129,1029,,1119,889,899,849,899,899,849,909,,,829,879,1096,1119,879,839,839,839,999,839,879,839,1069,1229,1096,919,899,,,,,,,,,909,999,,,839,1029,1096,879,,909,859,1029,909,
Y,839,769,789,819,869,969,1009,839,849,799,989,789,839,809,1019,839,769,,779,949,879,789,829,869,,789,789,829,919,889,949,1169,779,1009,999,1003,789,869,1009,1003,1003,789,949,829,,949,,869,1009,969,,1019,799,859,809,849,829,789,869,,,789,839,1003,1019,779,789,789,809,949,789,839,809,969,1179,1003,829,849,,,,,,,,,859,949,,,789,969,1003,839,,869,789,969,849,
Y,529,479,529,519,529,669,739,539,489,579,629,529,589,519,739,539,479,,499,689,529,519,469,529,,519,519,539,599,589,689,709,489,739,699,640,529,539,739,640,640,519,699,549,,689,,539,759,669,,739,589,519,509,489,579,519,539,,,519,539,640,739,529,519,519,509,689,519,529,509,709,779,640,589,569,,,,,,,,,499,579,,,519,669,640,539,,539,529,669,529,
Y,369,339,369,399,299,499,419,379,399,359,319,369,299,389,419,419,339,,359,389,409,369,399,299,,369,369,399,329,299,389,369,339,419,529,430,369,,419,430,430,369,389,399,,389,,,389,499,,419,339,299,389,399,299,369,,,,359,419,430,419,339,369,369,389,389,369,369,389,389,529,430,299,,,,,,,,,,,409,,,369,499,430,419,,,369,499,299,
Y,829,769,809,809,869,969,989,829,829,819,949,819,809,809,989,829,769,,769,939,879,809,849,879,,809,819,819,919,919,939,1189,769,989,1009,1062,829,859,989,1062,1062,809,949,829,,939,,859,999,969,,989,819,869,819,829,829,819,859,,,789,829,1062,989,799,809,809,809,939,809,829,809,949,1159,1062,849,829,,,,,,,,,849,929,,,809,969,1062,829,,859,819,969,879,
Y,789,719,769,749,819,909,889,769,779,739,879,769,769,779,909,799,719,,729,889,829,769,799,819,,769,769,759,849,819,889,1129,719,889,949,969,769,799,889,969,969,769,889,759,,889,,799,889,909,,909,749,799,779,779,759,769,789,,,749,799,969,909,729,769,769,779,889,769,789,779,839,1119,969,759,779,,,,,,,,,799,879,,,769,909,969,799,,799,769,909,799,
Y,469,399,479,439,479,599,589,449,409,469,499,479,499,469,639,489,399,,429,619,449,479,429,479,,479,489,459,559,519,619,669,399,589,639,600,489,489,589,600,600,479,619,469,,619,,489,609,599,,639,469,479,469,409,499,479,489,,,449,489,600,639,469,479,479,469,619,479,469,469,559,699,600,499,499,,,,,,,,,439,489,,,489,599,600,489,,499,479,599,489,
Y,419,369,419,449,349,599,469,429,449,399,379,419,359,439,459,469,369,,419,419,459,419,449,349,,419,419,449,389,349,439,419,369,469,599,480,419,,469,480,480,419,439,449,,439,,,439,599,,459,399,349,439,449,349,419,,,,419,469,480,459,389,419,419,439,439,419,419,439,439,599,480,369,,,,,,,,,,,459,,,419,599,480,469,,,419,599,349,
