Y,519,519,519,519,559,479,519,519,519,499,519,519,459,459,479,529,519,529,539,519,449,519,,529,549,449,529,519,519,499
Y,419,419,429,419,459,379,449,419,419,399,399,449,379,369,379,399,459,429,439,419,349,419,,429,419,349,419,419,419,419
Y,469,469,469,469,499,429,489,449,479,459,469,489,419,429,429,489,489,489,499,499,399,479,,489,489,399,469,499,469,479
Y,339,339,279,339,279,219,279,279,279,279,279,279,339,269,219,279,279,279,279,279,219,279,,279,279,219,279,279,339,279
Y,519,519,519,519,559,479,519,519,519,499,519,519,459,459,479,529,519,529,539,519,449,519,,529,549,449,529,519,519,499
Y,439,439,389,439,389,359,499,389,499,389,499,499,389,329,359,499,389,499,499,389,319,499,,389,389,319,389,389,439,389
Y,499,499,439,499,439,399,519,439,519,439,519,529,439,389,399,519,439,519,519,439,399,519,,439,439,399,439,439,499,439
Y,419,419,429,419,459,379,449,419,419,399,399,449,379,369,379,399,459,429,439,419,349,419,,429,419,349,419,419,419,419
Y,469,469,469,469,499,429,489,449,479,459,469,489,419,429,429,489,489,489,499,499,399,479,,489,489,399,469,499,469,479
Y,579,579,569,579,579,559,729,589,729,569,729,729,579,549,559,729,579,729,729,599,549,729,,549,599,549,579,589,579,589
Y,569,569,579,569,579,569,729,579,729,559,729,729,629,559,569,729,579,729,729,599,559,729,,549,599,559,589,579,569,579
Y,519,519,519,519,559,479,519,519,519,499,519,519,459,459,479,529,519,529,539,519,449,519,,529,549,449,529,519,519,499
Y,269,269,259,269,259,249,279,259,289,269,289,269,259,199,249,279,249,279,289,229,249,289,,249,259,249,259,249,269,239
Y,369,369,349,369,349,319,415,349,415,349,415,429,389,339,319,415,349,389,389,349,289,389,,349,349,289,349,349,369,349
Y,1199,1199,,1199,,,,,,,,,1499,1000,,,,,,,,,,,,,,,1199,
Y,589,589,629,589,619,569,,609,,629,,,599,519,569,,609,,,619,459,,,629,629,459,619,619,589,609
Y,889,889,,889,,,,,,,,,869,,,,,,,,839,,,,,839,,,889,
Y,859,859,879,859,879,839,939,899,979,879,979,979,829,829,839,979,879,939,979,889,899,979,,869,899,899,898,889,859,879
Y,859,859,868,859,868,839,929,899,929,868,929,929,899,839,839,929,858,929,929,899,899,929,,869,879,899,879,898,859,889
Y,629,629,679,629,689,639,,689,,659,,,669,619,639,,669,,,679,599,,,659,689,599,669,669,629,689
Y,919,919,,919,,,,,,,,,919,,,,,,,,969,,,,,969,,,919,
Y,339,339,279,339,279,,299,279,299,279,299,279,339,289,,299,279,299,299,279,219,319,,279,279,219,279,279,339,279
Y,499,499,429,499,429,,539,429,539,429,539,539,439,419,,539,429,559,539,429,429,539,,429,429,429,429,429,499,429
Y,279,279,279,279,279,249,309,279,309,279,309,309,339,279,249,309,279,309,309,279,219,309,,279,279,219,279,279,279,279
Y,399,399,429,399,429,449,519,429,519,429,519,539,439,389,449,519,429,519,519,429,389,519,,429,429,389,429,429,399,429
Y,339,339,279,339,279,219,279,279,279,279,279,279,339,269,219,279,279,279,279,279,219,279,,279,279,219,279,,339,279
Y,499,499,439,499,439,399,519,439,519,439,519,529,439,389,399,519,439,519,519,439,399,519,,439,439,399,439,439,499,439
Y,119,119,139,119,129,89,120,149,100,129,100,169,349,100,89,100,129,100,100,159,79,100,,129,129,79,129,139,119,149
Y,319,319,279,319,279,259,309,279,309,279,309,309,339,269,259,309,279,309,309,279,219,309,,279,279,219,279,279,319,279
Y,25,25,,25,,50,49,40,49,,49,49,40,,50,49,,49,49,40,35,49,,30,30,35,40,40,25,40
Y,29,29,50,29,50,50,49,40,49,50,49,49,40,,50,49,50,49,49,40,35,49,,50,50,35,50,50,29,40
Y,29,29,,29,,50,49,40,49,,49,49,40,,50,49,,49,49,40,,49,,,,,30,30,29,40
Y,39,39,40,39,40,,,40,,40,,,25,50,,,40,,,40,50,,,40,40,50,40,40,39,40
Y,200,200,219,200,219,119,100,219,100,219,100,100,75,50,119,100,219,100,100,219,70,100,,219,219,70,219,219,200,219
Y,439,439,389,439,389,359,499,389,499,389,499,499,389,329,359,499,389,499,499,389,319,499,,389,389,319,389,389,439,389
Y,439,439,389,439,389,,499,389,499,389,499,499,389,369,,499,389,499,499,389,319,499,,389,389,319,389,389,439,389
Y,319,319,269,319,259,269,259,259,259,259,289,249,349,299,269,249,259,249,259,269,279,249,,259,259,279,259,269,319,259
Y,419,419,409,419,439,419,519,409,519,439,519,539,429,389,419,519,449,519,519,419,389,519,,439,449,389,439,409,419,419
Y,339,339,389,339,389,379,499,389,499,389,499,499,389,339,379,499,389,499,499,389,319,499,,389,389,319,389,389,339,389
Y,279,279,279,279,279,239,279,279,279,279,279,279,339,329,239,279,289,279,279,279,219,279,,279,279,219,279,279,279,279
Y,339,339,389,339,389,379,519,389,519,389,519,519,389,359,379,519,389,519,519,389,339,519,,389,389,339,389,389,339,389
Y,399,399,429,399,429,449,549,429,549,429,569,549,439,389,449,569,429,569,549,429,419,569,,429,429,419,429,429,399,429
