Y,250,250,250
Y,250,250,250
Y,250,250,250
Y,250,250,250
Y,250,250,250
Y,250,250,250
Y,815,795,815
Y,510,475,485
Y,580,535,540
Y,615,585,640
Y,580,545,580
Y,650,595,630
Y,715,665,730
Y,680,635,690
Y,750,685,740
Y,815,755,840
Y,395,375,425
Y,465,445,495
Y,395,375,425
Y,465,445,495
Y,395,375,425
Y,465,445,495
Y,395,375,425
Y,465,445,495
Y,230,230,230
Y,70,70,80
Y,1000,1000,1000
Y,450,500,450
Y,300,300,300
Y,200,200,200
Y,50,50,50
Y,50,50,50
Y,55,55,55
Y,75,75,85
Y,55,55,55
Y,140,130,140
Y,670,645,690
Y,1285,1210,1215
Y,765,750,795
Y,1380,1310,1315
